Item,Data create,Op id,Mo #,Frame barcode,Qty,Frame barcode,Frame barcode,Frame barcode,Frame barcode,Frame barcode
1, 23/12/17__02:12:01,6114, MOLT23C00135-001    , 1001-675B7CA-348    ,414, 1001-675B7CA-348 ,,,,
3, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
5, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
7, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
9, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
11, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
13, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
15, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
17, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
19, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
21, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
23, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
25, 23/12/17__02:12:01,6114, MOLT23C00135-001    , , ,  ,,,,
Qty Sum ,_,_,_,_ ,0,,,,,
Item,Data create,Op id,Mo #,Frame barcode,Qty,Frame barcode,Frame barcode,Frame barcode,Frame barcode,Frame barcode
1, 23/12/17__02:14:35,6114, MOLT23C00135-001    , 2001-675B7CA-348    ,30, 2001-675B7CA-348 ,,,,
3, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
5, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
7, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
9, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
11, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
13, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
15, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
17, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
19, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
21, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
23, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
25, 23/12/17__02:14:35,6114, MOLT23C00135-001    , , ,  ,,,,
Qty Sum ,_,_,_,_ ,0,,,,,
Item,Data create,Op id,Mo #,Frame barcode,Qty,Frame barcode,Frame barcode,Frame barcode,Frame barcode,Frame barcode
1, 23/12/17__02:18:21,6114, MOLT23C00135-001    , 3001-675B7CA-348    ,8, 3001-675B7CA-348 ,,,,
3, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
5, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
7, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
9, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
11, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
13, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
15, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
17, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
19, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
21, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
23, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
25, 23/12/17__02:18:21,6114, MOLT23C00135-001    , , ,  ,,,,
Qty Sum ,_,_,_,_ ,0,,,,,
