Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1001-PGY325.0M-343  , 001573 
03, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1002-PGY325.0M-343  , 001582 
05, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1003-PGY325.0M-343  , 001579 
07, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1004-PGY325.0M-343  , 001580 
09, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1005-PGY325.0M-343  , 001578 
11, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1006-PGY325.0M-343  , 001585 
13, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1007-PGY325.0M-343  , 001580 
15, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1008-PGY325.0M-343  , 001575 
17, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1009-PGY325.0M-343  , 001576 
19, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1010-PGY325.0M-343  , 001581 
21, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1011-PGY325.0M-343  , 001580 
23, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 1012-PGY325.0M-343  , 001537 
25, 23/11/08__02:18:08, 6114  , MOLT23A02939-001    , 2001-PGY325.0M-343  , 000677 
Qty Sum ,_,_,_,_ ,000000 
