Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/10__14:41:19,4598, MOLT23A03411-019    , 2001-675D1C-343     ,588
3, 23/11/10__14:41:19,4598, MOLT23A03411-019    , 2002-675D1C-343     ,60
5, 23/11/10__14:41:19,4598, MOLT23A03411-019    , 3001-675D1C-343     ,189
7, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
9, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
11, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
13, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
15, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
17, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
19, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
21, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
23, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
25, 23/11/10__14:41:19,4598, MOLT23A03411-019    , ,  
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/13__14:35:49,4598, MOLT23A03411-008    , 1008-675D1C-343     ,538
3, 23/11/13__14:35:49,4598, MOLT23A03411-008    , 1009-675D1C-343     ,548
5, 23/11/13__14:35:49,4598, MOLT23A03411-008    , 1010-675D1C-343     ,544
7, 23/11/13__14:35:49,4598, MOLT23A03411-008    , 1011-675D1C-343     ,526
9, 23/11/13__14:35:49,4598, MOLT23A03411-008    , 1012-675D1C-343     ,564
11, 23/11/13__14:35:49,4598, MOLT23A03411-008    , ,  
13, 23/11/13__14:35:49,4598, MOLT23A03411-008    , ,  
15, 23/11/13__14:35:49,4598, MOLT23A03411-008    , ,  
17, 23/11/13__14:35:49,4598, MOLT23A03411-008    , ,  
19, 23/11/13__14:35:49,4598, MOLT23A03411-008    , ,  
21, 23/11/13__14:35:49,4598, MOLT23A03411-008    , ,  
23, 23/11/13__14:35:49,4598, MOLT23A03411-008    , ,  
25, 23/11/13__14:35:49,4598, MOLT23A03411-008    , ,  
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1001-675D1C-343     ,601
3, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1002-675D1C-343     ,574
5, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1003-675D1C-343     ,532
7, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1004-675D1C-343     ,545
9, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1005-675D1C-343     ,551
11, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1006-675D1C-343     ,577
13, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1007-675D1C-343     ,531
15, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1008-675D1C-343     ,538
17, 23/11/15__14:24:22,4598, MOLT23A03411-021    , 1009-675D1C-343     ,548
