Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL741              , 000300 
03, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL742              , 000300 
05, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL743              , 000297 
07, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL744              , 000300 
09, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEG653              , 000299 
11, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL949              , 000299 
13, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEG571              , 000299 
15, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL948              , 000299 
17, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL536              , 000301 
19, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL947              , 000300 
21, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CED073              , 000300 
23, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CEL946              , 000302 
25, 23/11/26__03:00:59, 4690  , MOLT23B01004-001    , CED072              , 000200 
Qty Sum ,_,_,_,_ ,000000 
