Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/01__21:10:56,6114, MOLT23B02497-001    , A001-P9NM54.03-348  ,504
3, 23/12/01__21:10:56,6114, MOLT23B02497-001    , A002-P9NM54.03-348  ,503
5, 23/12/01__21:10:56,6114, MOLT23B02497-001    , A003-P9NM54.03-348  ,145
7, 23/12/01__21:10:56,6114, MOLT23B02497-001    , A004-P9NM54.03-348   ,35
9, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
11, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
13, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
15, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
17, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
19, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
21, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
23, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
25, 23/12/01__21:10:56,6114, MOLT23B02497-001    , ,  
Qty Sum ,_,_,_,_ ,0
