Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y01-Q3PC18.1-345    ,373
3, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y02-Q3PC18.1-345    ,370
5, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y03-Q3PC18.1-345    ,374
7, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y04-Q3PC18.1-345    ,370
9, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y05-Q3PC18.1-345    ,372
11, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y06-Q3PC18.1-345    ,373
13, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y07-Q3PC18.1-345    ,373
15, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y08-Q3PC18.1-345    ,374
17, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y09-Q3PC18.1-345    ,373
19, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y10-Q3PC18.1-345    ,373
21, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y11-Q3PC18.1-345    ,372
23, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y12-Q3PC18.1-345    ,374
25, 23/11/24__18:08:17,4598, MOLT23B00872-002    , Y13-Q3PC18.1-345    ,374
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y14-Q3PC18.1-345    ,373
3, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y15-Q3PC18.1-345    ,370
5, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y16-Q3PC18.1-345    ,374
7, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y17-Q3PC18.1-345    ,373
9, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y18-Q3PC18.1-345    ,371
11, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y19-Q3PC18.1-345    ,371
13, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y20-Q3PC18.1-345    ,374
15, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y21-Q3PC18.1-345    ,371
17, 23/11/24__18:14:24,4598, MOLT23B00872-002    , Y22-Q3PC18.1-345    ,104
19, 23/11/24__18:14:24,4598, MOLT23B00872-002    , ,  
21, 23/11/24__18:14:24,4598, MOLT23B00872-002    , ,  
23, 23/11/24__18:14:24,4598, MOLT23B00872-002    , ,  
25, 23/11/24__18:14:24,4598, MOLT23B00872-002    , ,  
Qty Sum ,_,_,_,_ ,0
