Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y01-Q3KR37.1-345    ,373
3, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y02-Q3KR37.1-345    ,373
5, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y03-Q3KR37.1-345    ,374
7, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y04-Q3KR37.1-345    ,373
9, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y05-Q3KR37.1-345    ,373
11, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y06-Q3KR37.1-345    ,372
13, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y07-Q3KR37.1-345    ,372
15, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y08-Q3KR37.1-345    ,372
17, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y09-Q3KR37.1-345    ,372
19, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y10-Q3KR37.1-345    ,372
21, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y11-Q3KR37.1-345    ,373
23, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y12-Q3KR37.1-345    ,373
25, 23/11/14__18:43:07,6914, MOLT23B00474-001    , Y13-Q3KR37.1-345    ,373
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/14__18:51:05,6914, MOLT23B00474-001    , Y14-Q3KR37.1-345    ,373
3, 23/11/14__18:51:05,6914, MOLT23B00474-001    , Y15-Q3KR37.1-345    ,373
5, 23/11/14__18:51:05,6914, MOLT23B00474-001    , Y16-Q3KR37.1-345    ,373
7, 23/11/14__18:51:05,6914, MOLT23B00474-001    , Y17-Q3KR37.1-345    ,375
9, 23/11/14__18:51:05,6914, MOLT23B00474-001    , Y18-Q3KR37.1-345    ,373
11, 23/11/14__18:51:05,6914, MOLT23B00474-001    , Y19-Q3KR37.1-345    ,375
13, 23/11/14__18:51:05,6914, MOLT23B00474-001    , Y20-Q3KR37.1-345    ,217
15, 23/11/14__18:51:05,6914, MOLT23B00474-001    , ,  
17, 23/11/14__18:51:05,6914, MOLT23B00474-001    , ,  
19, 23/11/14__18:51:05,6914, MOLT23B00474-001    , ,  
21, 23/11/14__18:51:05,6914, MOLT23B00474-001    , ,  
23, 23/11/14__18:51:05,6914, MOLT23B00474-001    , ,  
25, 23/11/14__18:51:05,6914, MOLT23B00474-001    , ,  
Qty Sum ,_,_,_,_ ,0
