Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/11__06:09:36,4695, MOLT23A02972-001    , 1001-PGY317.06-343  ,1585
3, 23/11/11__06:09:36,4695, MOLT23A02972-001    , 1002-PGY317.06-343  ,1575
5, 23/11/11__06:09:36,4695, MOLT23A02972-001    , 1003-PGY317.06-343  ,324
7, 23/11/11__06:09:36,4695, MOLT23A02972-001    , 2001-PGY317.06-343  ,427
9, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
11, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
13, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
15, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
17, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
19, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
21, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
23, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
25, 23/11/11__06:09:36,4695, MOLT23A02972-001    , ,  
Qty Sum ,_,_,_,_ ,0
