Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A22-Q233391-346     ,6319
3, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A23-Q233391-346     ,6324
5, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A24-Q233391-346     ,6326
7, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A25-Q233391-346     ,6319
9, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A26-Q233391-346     ,6325
11, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A27-Q233391-346     ,6326
13, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A28-Q233391-346     ,6321
15, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A29-Q233391-346     ,6323
17, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A30-Q233391-346     ,6322
19, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A31-Q233391-346     ,6320
21, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A32-Q233391-346     ,6316
23, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A33-Q233391-346     ,6322
25, 23/11/23__15:37:14,6914, MOLT23B01407-001    , A34-Q233391-346     ,6313
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/23__15:43:33,6914, MOLT23B01407-001    , A35-Q233391-346     ,6320
3, 23/11/23__15:43:33,6914, MOLT23B01407-001    , A36-Q233391-346     ,6322
5, 23/11/23__15:43:33,6914, MOLT23B01407-001    , A37-Q233391-346     ,6321
7, 23/11/23__15:43:33,6914, MOLT23B01407-001    , A38-Q233391-346     ,6323
9, 23/11/23__15:43:33,6914, MOLT23B01407-001    , A39-Q233391-346     ,6320
11, 23/11/23__15:43:33,6914, MOLT23B01407-001    , A40-Q233391-346     ,6322
13, 23/11/23__15:43:33,6914, MOLT23B01407-001    , A41-Q233391-346     ,6321
15, 23/11/23__15:43:33,6914, MOLT23B01407-001    , A42-Q233391-346     ,3654
17, 23/11/23__15:43:33,6914, MOLT23B01407-001    , ,  
19, 23/11/23__15:43:33,6914, MOLT23B01407-001    , ,  
21, 23/11/23__15:43:33,6914, MOLT23B01407-001    , ,  
23, 23/11/23__15:43:33,6914, MOLT23B01407-001    , ,  
25, 23/11/23__15:43:33,6914, MOLT23B01407-001    , ,  
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/23__18:11:51,6914, MOLT23B01407-001    , A27-Q233391-346     ,6326
3, 23/11/23__18:11:51,6914, MOLT23B01407-001    , A35-Q233391-346     ,6320
5, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
7, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
9, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
11, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
13, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
15, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
17, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
19, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
21, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
23, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
25, 23/11/23__18:11:51,6914, MOLT23B01407-001    , ,  
Qty Sum ,_,_,_,_ ,0
