Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 1001-PGG073.0A-343  ,1575
3, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 1002-PGG073.0A-343  ,1580
5, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 1003-PGG073.0A-343  ,1585
7, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 1004-PGG073.0A-343  ,1582
9, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 1005-PGG073.0A-343  ,1568
11, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 1006-PGG073.0A-343  ,1576
13, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 1007-PGG073.0A-343  ,1580
15, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 1008-PGG073.0A-343  ,280
17, 23/11/17__07:45:13,4598, MOLT23A03634-001    , 2001-PGG073.0A-343  ,338
19, 23/11/17__07:45:13,4598, MOLT23A03634-001    , ,  
21, 23/11/17__07:45:13,4598, MOLT23A03634-001    , ,  
23, 23/11/17__07:45:13,4598, MOLT23A03634-001    , ,  
25, 23/11/17__07:45:13,4598, MOLT23A03634-001    , ,  
Qty Sum ,_,_,_,_ ,0
