Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 121-JHR0182-347     ,1008
3, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 122-JHR0182-347     ,1547
5, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 123-JHR0182-347     ,1684
7, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 124-JHR0182-347     ,1749
9, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 125-JHR0182-347     ,1719
11, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 126-JHR0182-347     ,1748
13, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 127-JHR0182-347     ,1815
15, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 128-JHR0182-347     ,1811
17, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 129-JHR0182-347     ,1696
19, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 130-JHR0182-347     ,1568
21, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 131-JHR0182-347     ,1313
23, 23/12/01__00:51:51,6114, MOLT23B01830-002    , 204-JHR0182-347     ,114
25, 23/12/01__00:51:51,6114, MOLT23B01830-002    , ,  
Qty Sum ,_,_,_,_ ,0
