Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/02__13:53:27,4598, MOLT23B01674-004    , 1001-PFK358.0Q-346  ,1560
3, 23/12/02__13:53:27,4598, MOLT23B01674-004    , 1002-PFK358.0Q-346  ,1553
5, 23/12/02__13:53:27,4598, MOLT23B01674-004    , 1003-PFK358.0Q-346  ,1553
7, 23/12/02__13:53:27,4598, MOLT23B01674-004    , 1004-PFK358.0Q-346  ,1556
9, 23/12/02__13:53:27,4598, MOLT23B01674-004    , 1005-PFK358.0Q-346  ,1384
11, 23/12/02__13:53:27,4598, MOLT23B01674-004    , 2001-PFK358.0Q-346  ,198
13, 23/12/02__13:53:27,4598, MOLT23B01674-004    , ,  
15, 23/12/02__13:53:27,4598, MOLT23B01674-004    , ,  
17, 23/12/02__13:53:27,4598, MOLT23B01674-004    , ,  
19, 23/12/02__13:53:27,4598, MOLT23B01674-004    , ,  
21, 23/12/02__13:53:27,4598, MOLT23B01674-004    , ,  
23, 23/12/02__13:53:27,4598, MOLT23B01674-004    , ,  
25, 23/12/02__13:53:27,4598, MOLT23B01674-004    , ,  
Qty Sum ,_,_,_,_ ,0
