Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1001-PFK339.0W-346  ,1514
3, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1002-PFK339.0W-346  ,1542
5, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1003-PFK339.0W-346  ,1512
7, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1004-PFK339.0W-346  ,1556
9, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1005-PFK339.0W-346  ,1515
11, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1006-PFK339.0W-346  ,1526
13, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1007-PFK339.0W-346  ,1538
15, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1008-PFK339.0W-346  ,1514
17, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1009-PFK339.0W-346  ,1553
19, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1010-PFK339.0W-346  ,1515
21, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1011-PFK339.0W-346  ,1536
23, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1012-PFK339.0W-346  ,1539
25, 23/12/06__09:50:07,4598, MOLT23B01490-052    , 1013-PFK339.0W-346  ,1517
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1014-PFK339.0W-346  ,1549
3, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1058-PFK339.0W-346  ,1551
5, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1016-PFK339.0W-346  ,1528
7, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1017-PFK339.0W-346  ,1533
9, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1018-PFK339.0W-346  ,1512
11, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1019-PFK339.0W-346  ,1535
13, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1020-PFK339.0W-346  ,1578
15, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1021-PFK339.0W-346  ,1580
17, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1022-PFK339.0W-346  ,1542
19, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1023-PFK339.0W-346  ,1538
21, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1024-PFK339.0W-346  ,1536
23, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1025-PFK339.0W-346  ,1545
25, 23/12/06__10:07:35,4598, MOLT23B01490-052    , 1026-PFK339.0W-346  ,1553
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1027-PFK339.0W-346  ,1561
3, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1028-PFK339.0W-346  ,1576
5, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1029-PFK339.0W-346  ,1580
7, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1030-PFK339.0W-346  ,1578
9, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1031-PFK339.0W-346  ,1575
11, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1032-PFK339.0W-346  ,1553
13, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1033-PFK339.0W-346  ,1546
15, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1034-PFK339.0W-346  ,1519
17, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1035-PFK339.0W-346  ,1552
19, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1036-PFK339.0W-346  ,1540
21, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1037-PFK339.0W-346  ,1565
23, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1038-PFK339.0W-346  ,1555
25, 23/12/06__10:16:29,4598, MOLT23B01490-052    , 1039-PFK339.0W-346  ,1557
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1040-PFK339.0W-346  ,1556
3, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1041-PFK339.0W-346  ,1538
5, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1042-PFK339.0W-346  ,1553
7, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1043-PFK339.0W-346  ,1544
9, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1044-PFK339.0W-346  ,1549
11, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1045-PFK339.0W-346  ,1552
13, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1046-PFK339.0W-346  ,1533
15, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1047-PFK339.0W-346  ,1551
17, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1048-PFK339.0W-346  ,1554
19, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1049-PFK339.0W-346  ,1556
21, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1050-PFK339.0W-346  ,1557
23, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1051-PFK339.0W-346  ,1581
25, 23/12/06__10:27:07,4598, MOLT23B01490-052    , 1052-PFK339.0W-346  ,1586
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/06__10:31:00,4598, MOLT23B01490-052    , 1053-PFK339.0W-346  ,1541
3, 23/12/06__10:31:00,4598, MOLT23B01490-052    , 1054-PFK339.0W-346  ,1546
5, 23/12/06__10:31:00,4598, MOLT23B01490-052    , 1059-PFK339.0W-346  ,1544
7, 23/12/06__10:31:00,4598, MOLT23B01490-052    , 1056-PFK339.0W-346  ,1513
9, 23/12/06__10:31:00,4598, MOLT23B01490-052    , 1060-PFK339.0W-346  ,888
11, 23/12/06__10:31:00,4598, MOLT23B01490-052    , ,  
13, 23/12/06__10:31:00,4598, MOLT23B01490-052    , ,  
15, 23/12/06__10:31:00,4598, MOLT23B01490-052    , ,  
17, 23/12/06__10:31:00,4598, MOLT23B01490-052    , ,  
19, 23/12/06__10:31:00,4598, MOLT23B01490-052    , ,  
21, 23/12/06__10:31:00,4598, MOLT23B01490-052    , ,  
23, 23/12/06__10:31:00,4598, MOLT23B01490-052    , ,  
25, 23/12/06__10:31:00,4598, MOLT23B01490-052    , ,  
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/12/06__10:35:32,4598, MOLT23B01490-052    , 2001-PFK339.0W-346  ,1513
3, 23/12/06__10:35:32,4598, MOLT23B01490-052    , 2002-PFK339.0W-346  ,1522
5, 23/12/06__10:35:32,4598, MOLT23B01490-052    , 2003-PFK339.0W-346  ,1523
7, 23/12/06__10:35:32,4598, MOLT23B01490-052    , 2004-PFK339.0W-346  ,282
9, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
11, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
13, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
15, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
17, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
19, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
21, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
23, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
25, 23/12/06__10:35:32,4598, MOLT23B01490-052    , ,  
Qty Sum ,_,_,_,_ ,0
