Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/16__02:35:12,6114, MOLT23B00159-001    ,CEG524,244
3, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
5, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
7, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
9, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
11, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
13, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
15, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
17, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
19, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
21, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
23, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
25, 23/11/16__02:35:12,6114, MOLT23B00159-001    , ,  
Qty Sum ,_,_,_,_ ,0
