Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1001-PGB444.00-346  , 001569 
03, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1002-PGB444.00-346  , 001566 
05, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1003-PGB444.00-346  , 001548 
07, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1004-PGB444.00-346  , 001554 
09, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1005-PGB444.00-346  , 001551 
11, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1006-PGB444.00-346  , 001563 
13, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1007-PGB444.00-346  , 001550 
15, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1008-PGB444.00-346  , 001565 
17, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1009-PGB444.00-346  , 001558 
19, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1010-PGB444.00-346  , 001560 
21, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1011-PGB444.00-346  , 001559 
23, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 1012-PGB444.00-346  , 001304 
25, 23/12/07__16:37:47, 4598  , MOLT23B01683-013    , 2001-PGB444.00-346  , 000875 
Qty Sum ,_,_,_,_ ,000000 
