Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/18__09:41:03,6914, MOLT23B00922-001    , 104-JHR0152-345     ,1574
3, 23/11/18__09:41:03,6914, MOLT23B00922-001    , 105-JHR0152-345     ,17
5, 23/11/18__09:41:03,6914, MOLT23B00922-001    , 202-JHR0152-345     ,16
7, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
9, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
11, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
13, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
15, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
17, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
19, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
21, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
23, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
25, 23/11/18__09:41:03,6914, MOLT23B00922-001    , ,  
Qty Sum ,_,_,_,_ ,0
