Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/11__06:09:36,4695, MOLT23A02963-001    , 1001-PGY325.0L-343  ,1577
3, 23/11/11__06:09:36,4695, MOLT23A02963-001    , 1002-PGY325.0L-343  ,1577
5, 23/11/11__06:09:36,4695, MOLT23A02963-001    , 1003-PGY325.0L-343  ,604
7, 23/11/11__06:09:36,4695, MOLT23A02963-001    , 2001-PGY325.0L-343  ,150
9, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,
11, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,
13, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,
15, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,
17, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,
19, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,  
21, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,  
23, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,  
25, 23/11/11__06:09:36,4695, MOLT23A02963-001    , ,  
Qty Sum ,_,_,_,_ ,0
