Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1001-PFK384.00-334  ,1579
3, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1002-PFK384.00-334  ,1577
5, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1003-PFK384.00-334  ,1576
7, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1004-PFK384.00-334  ,1579
9, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1005-PFK384.00-334  ,1578
11, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1006-PFK384.00-334  ,1577
13, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1007-PFK384.00-334  ,1569
15, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1008-PFK384.00-334  ,1563
17, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1009-PFK384.00-334  ,1575
19, 23/09/10__18:20:06,4598, MOLT23802282-001    , 1010-PFK384.00-334  ,1082
21, 23/09/10__18:20:06,4598, MOLT23802282-001    , 2001-PFK384.00-334  ,451
23, 23/09/10__18:20:06,4598, MOLT23802282-001    , ,  
25, 23/09/10__18:20:06,4598, MOLT23802282-001    , ,  
Qty Sum ,_,_,_,_ ,0
