Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/09/11__11:58:40,6019, MOLT23802996-001    , A001-P9NM54.02-335  ,462
3, 23/09/11__11:58:40,6019, MOLT23802996-001    , A002-P9NM54.02-335  ,462
5, 23/09/11__11:58:40,6019, MOLT23802996-001    , A003-P9NM54.02-335  ,49
7, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
9, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
11, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
13, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
15, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
17, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
19, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
21, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
23, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
25, 23/09/11__11:58:40,6019, MOLT23802996-001    , ,  
Qty Sum ,_,_,_,_ ,0
Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/09/11__12:13:29,6019, MOLT23802996-002    , A002-P9NM54.02-335  ,470
3, 23/09/11__12:13:29,6019, MOLT23802996-002    , A003-P9NM54.02-335  ,46
5, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
7, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
9, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
11, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
13, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
15, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
17, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
19, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
21, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
23, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
25, 23/09/11__12:13:29,6019, MOLT23802996-002    , ,  
Qty Sum ,_,_,_,_ ,0
