Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/09/11__12:08:39,6019, MOLT23802999-001    , A001-P8P749.01-335  ,473
3, 23/09/11__12:08:39,6019, MOLT23802999-001    , A002-P8P749.01-335  ,470
5, 23/09/11__12:08:39,6019, MOLT23802999-001    , A003-P8P749.01-335  ,455
7, 23/09/11__12:08:39,6019, MOLT23802999-001    , A004-P8P749.01-335  ,470
9, 23/09/11__12:08:39,6019, MOLT23802999-001    , A005-P8P749.01-335  ,449
11, 23/09/11__12:08:39,6019, MOLT23802999-001    , A006-P8P749.01-335  ,456
13, 23/09/11__12:08:39,6019, MOLT23802999-001    , A007-P8P749.01-335  ,466
15, 23/09/11__12:08:39,6019, MOLT23802999-001    , A008-P8P749.01-335  ,461
17, 23/09/11__12:08:39,6019, MOLT23802999-001    , A009-P8P749.01-335  ,64
19, 23/09/11__12:08:39,6019, MOLT23802999-001    , ,  
21, 23/09/11__12:08:39,6019, MOLT23802999-001    , ,  
23, 23/09/11__12:08:39,6019, MOLT23802999-001    , ,  
25, 23/09/11__12:08:39,6019, MOLT23802999-001    , ,  
Qty Sum ,_,_,_,_ ,0
